date,open,close,return
2018/1/2,13.3,13.7,0.030075188
2018/1/3,13.7,13.33,-0.027007299
2018/1/4,13.33,13.25,-0.0060015
2018/1/5,13.25,13.3,0.003773585
2018/1/8,13.3,12.96,-0.02556391
2018/1/9,12.96,13.08,0.009259259
2018/1/10,13.08,13.47,0.029816514
2018/1/11,13.47,13.4,-0.005196733
2018/1/12,13.4,13.55,0.01119403
2018/1/15,13.55,14.2,0.04797048
2018/1/16,14.2,14.2,0
2018/1/17,14.2,14.23,0.002112676
2018/1/18,14.23,14.72,0.034434294
2018/1/19,14.72,14.8,0.005434783
2018/1/22,14.8,14.44,-0.024324324
2018/1/23,14.44,14.65,0.014542936
2018/1/24,14.65,14.64,-0.000682594
2018/1/25,14.64,14.2,-0.030054645
2018/1/26,14.2,14.05,-0.01056338
2018/1/29,14.05,13.74,-0.022064057
2018/1/30,13.74,13.65,-0.006550218
2018/1/31,13.65,14.05,0.029304029
2018/2/1,14.05,14.03,-0.001423488
2018/2/2,14.03,14.05,0.001425517
2018/2/5,14.05,14.55,0.035587189
2018/2/6,14.55,14,-0.037800687
2018/2/7,14,12.92,-0.077142857
2018/2/8,12.92,12.54,-0.029411765
2018/2/9,12.54,11.69,-0.067783094
2018/2/12,11.69,11.72,0.002566296
2018/2/13,11.72,11.94,0.018771331
2018/2/14,11.94,12,0.005025126
2018/2/22,12,12.46,0.038333333
2018/2/23,12.46,12.61,0.012038523
2018/2/26,12.61,12.63,0.001586043
2018/2/27,12.63,12.28,-0.027711797
2018/2/28,12.28,12.05,-0.018729642
2018/3/1,12.05,12.04,-0.000829876
2018/3/2,12.04,11.95,-0.007475083
2018/3/5,11.95,11.86,-0.007531381
2018/3/6,11.86,12.1,0.020236088
2018/3/7,12.1,12.05,-0.004132231
2018/3/8,12.05,12.11,0.004979253
2018/3/9,12.11,12.09,-0.001651528
2018/3/12,12.09,12.03,-0.004962779
2018/3/13,12.03,12.02,-0.000831255
2018/3/14,12.02,11.92,-0.008319468
2018/3/15,11.92,11.71,-0.01761745
2018/3/16,11.71,11.64,-0.005977797
2018/3/19,11.64,11.83,0.016323024
2018/3/20,11.83,11.82,-0.000845309
2018/3/21,11.82,11.9,0.00676819
2018/3/22,11.9,11.66,-0.020168067
2018/3/23,11.66,11.34,-0.027444254
2018/3/26,11.34,10.93,-0.036155203
2018/3/27,10.93,10.94,0.000914913
2018/3/28,10.94,10.89,-0.004570384
2018/3/29,10.89,11.05,0.014692378
2018/3/30,11.05,10.9,-0.013574661
2018/4/2,10.9,10.71,-0.017431193
2018/4/3,10.71,10.56,-0.014005602
2018/4/4,10.56,10.87,0.029356061
2018/4/9,10.87,11.02,0.013799448
2018/4/10,11.02,11.42,0.036297641
2018/4/11,11.42,11.83,0.035901926
2018/4/12,11.83,11.52,-0.026204565
2018/4/13,11.52,11.57,0.004340278
2018/4/16,11.57,11.1,-0.040622299
2018/4/17,11.1,11.21,0.00990991
2018/4/18,11.21,11.5,0.025869759
2018/4/19,11.5,11.47,-0.002608696
2018/4/20,11.47,11.35,-0.010462075
2018/4/23,11.35,11.57,0.01938326
2018/4/24,11.57,11.86,0.025064823
2018/4/25,11.86,11.68,-0.015177066
2018/4/26,11.68,11.42,-0.022260274
2018/4/27,11.42,10.85,-0.049912434
2018/5/2,10.85,10.88,0.002764977
2018/5/3,10.88,10.75,-0.011948529
2018/5/4,10.75,10.68,-0.006511628
2018/5/7,10.68,10.81,0.012172285
2018/5/8,10.81,11.01,0.018501388
2018/5/9,11.01,10.97,-0.003633061
2018/5/10,10.97,11.01,0.003646308
2018/5/11,11.01,11.01,0
2018/5/14,11.01,11.18,0.015440509
2018/5/15,11.18,11.12,-0.005366726
2018/5/16,11.12,10.9,-0.019784173
2018/5/17,10.9,10.82,-0.00733945
2018/5/18,10.82,10.96,0.012939002
2018/5/21,10.96,10.95,-0.000912409
2018/5/22,10.95,10.86,-0.008219178
2018/5/23,10.86,10.65,-0.019337017
2018/5/24,10.65,10.61,-0.003755869
2018/5/25,10.61,10.59,-0.001885014
2018/5/28,10.59,10.59,0
2018/5/29,10.59,10.38,-0.019830028
2018/5/30,10.38,10.08,-0.028901734
2018/5/31,10.08,10.18,0.009920635
2018/6/1,10.18,10.19,0.000982318
2018/6/4,10.19,10.27,0.007850834
2018/6/5,10.27,10.26,-0.00097371
2018/6/6,10.26,10.14,-0.011695906
2018/6/7,10.14,10.37,0.022682446
2018/6/8,10.37,10.12,-0.024108004
2018/6/11,10.12,10.04,-0.007905138
2018/6/12,10.04,10.06,0.001992032
2018/6/13,10.06,9.95,-0.010934394
2018/6/14,9.95,10.07,0.012060302
2018/6/15,10.07,10.17,0.009930487
2018/6/19,10.17,9.87,-0.029498525
2018/6/20,9.87,9.91,0.004052685
2018/6/21,9.91,9.86,-0.005045409
2018/6/22,9.86,9.85,-0.001014199
2018/6/25,9.85,9.46,-0.039593909
2018/6/26,9.46,9.36,-0.010570825
2018/6/27,9.36,9.09,-0.028846154
2018/6/28,9.09,8.92,-0.01870187
2018/6/29,8.92,9.09,0.019058296
2018/7/2,9.09,8.61,-0.052805281
2018/7/3,8.61,8.67,0.006968641
2018/7/4,8.67,8.61,-0.006920415
2018/7/5,8.61,8.6,-0.00116144
2018/7/6,8.6,8.66,0.006976744
2018/7/9,8.66,9.03,0.042725173
2018/7/10,9.03,8.98,-0.005537099
2018/7/11,8.98,8.78,-0.022271715
2018/7/12,8.78,8.88,0.011389522
2018/7/13,8.88,8.88,0
2018/7/16,8.88,8.73,-0.016891892
2018/7/17,8.73,8.72,-0.001145475
2018/7/18,8.72,8.7,-0.002293578
2018/7/19,8.7,8.73,0.003448276
2018/7/20,8.73,9.11,0.043528064
2018/7/23,9.11,9.42,0.03402854
2018/7/24,9.42,9.4,-0.002123142
2018/7/25,9.4,9.38,-0.00212766
2018/7/26,9.38,9.25,-0.013859275
2018/7/27,9.25,9.25,0
2018/7/30,9.25,9.39,0.015135135
2018/7/31,9.39,9.42,0.003194888
2018/8/1,9.42,9.15,-0.02866242
2018/8/2,9.15,8.94,-0.02295082
2018/8/3,8.94,8.91,-0.003355705
2018/8/6,8.91,8.94,0.003367003
2018/8/7,8.94,9.17,0.025727069
2018/8/8,9.17,9.05,-0.01308615
2018/8/9,9.05,9.29,0.026519337
2018/8/10,9.29,9.23,-0.006458558
2018/8/13,9.23,9.05,-0.019501625
2018/8/14,9.05,9,-0.005524862
2018/8/15,9,8.79,-0.023333333
2018/8/16,8.79,8.78,-0.001137656
2018/8/17,8.78,8.81,0.003416856
